S17Nm,SectorBeta,Members,SectorBetaScore
鉄鋼・非鉄,1.135267440725495,10,1.0304093376643022
電機・精密,1.0800656822641592,37,0.8802491804414011
機械,1.0028027736167675,15,0.670078149058097
銀行,0.9694734080155643,9,0.5794154071760312
金融（除く銀行）,0.9155473113332147,10,0.4327253128394417
商社・卸売,0.8456079779364828,7,0.24247591514545358
自動車・輸送機,0.8258728219041979,14,0.18879222434958837
エネルギー資源,0.7744311863342941,3,0.04886037615692106
素材・化学,0.742744215802976,19,-0.03733471272295255
建設・資材,0.6490366934870687,16,-0.29223848166322636
情報通信・サービスその他,0.637598527686871,25,-0.32335264945015124
不動産,0.6284557321847145,5,-0.34822293707010515
医薬品,0.5249627324444679,9,-0.6297452208819501
電気・ガス,0.4751726164542863,5,-0.765184595525582
小売,0.3997089070930488,10,-0.970461434129258
運輸・物流,0.3555137793660071,16,-1.0906812878613992
食品,0.2520211009179341,11,-1.3722026976923303
