Ticker,Beta,Code,CoName,S17Nm,S33Nm,BetaScore
6857.T,1.9410700518682606,6857,アドバンテスト,電機・精密,電気機器,3.2185172993553355
9984.T,1.8871181699232322,9984,ソフトバンクグループ,情報通信・サービスその他,情報･通信業,3.0710384687148866
5803.T,1.7488649677330144,5803,フジクラ,鉄鋼・非鉄,非鉄金属,2.6931198520466944
6146.T,1.7148460620234285,6146,ディスコ,機械,機械,2.600128314905705
6506.T,1.7119011019694363,6506,安川電機,電機・精密,電気機器,2.592078192289257
5801.T,1.6287623245972487,5801,古河電気工業,鉄鋼・非鉄,非鉄金属,2.3648162465387874
5802.T,1.6049811060514627,5802,住友電気工業,鉄鋼・非鉄,非鉄金属,2.2998096855830275
3436.T,1.5439984454857718,3436,ＳＵＭＣＯ,建設・資材,金属製品,2.133112044178505
6723.T,1.5031733823569708,6723,ルネサスエレクトロニクス,電機・精密,電気機器,2.021515703995364
6920.T,1.5018459931084964,6920,レーザーテック,電機・精密,電気機器,2.01788725199124
6976.T,1.4970753151063345,6976,太陽誘電,電機・精密,電気機器,2.0048464832959456
6526.T,1.4871025839707666,6526,ソシオネクスト,電機・精密,電気機器,1.977585771099405
5706.T,1.4605690818467911,5706,三井金属,鉄鋼・非鉄,非鉄金属,1.9050557735355234
7012.T,1.3972111829781115,7012,川崎重工業,自動車・輸送機,輸送用機器,1.7318653582964554
6501.T,1.3882759078283795,6501,日立製作所,電機・精密,電気機器,1.7074405582148602
4004.T,1.37751409493338,4004,レゾナック・ホールディングス,素材・化学,化学,1.6780228711183662
8035.T,1.3628310430529431,8035,東京エレクトロン,電機・精密,電気機器,1.6378863783123094
6762.T,1.3600856079225583,6762,ＴＤＫ,電機・精密,電気機器,1.6303816621090654
7735.T,1.3403189131294382,7735,ＳＣＲＥＥＮホールディングス,電機・精密,電気機器,1.5763489031279005
5631.T,1.3352396850089598,5631,日本製鋼所,機械,機械,1.5624647048986808
5713.T,1.3285122129050762,5713,住友金属鉱山,鉄鋼・非鉄,非鉄金属,1.5440749901514192
6954.T,1.315466055282915,6954,ファナック,電機・精密,電気機器,1.5084129891033797
6361.T,1.2841699947576921,6361,荏原製作所,機械,機械,1.4228644179781818
6981.T,1.260240036349653,6981,村田製作所,電機・精密,電気機器,1.3574512728558665
6504.T,1.2379614536638548,6504,富士電機,電機・精密,電気機器,1.2965522049387217
8411.T,1.1776226903275309,8411,みずほフィナンシャルグループ,銀行,銀行業,1.131614672857845
8308.T,1.1607493043033477,8308,りそなホールディングス,銀行,銀行業,1.0854908464021353
8604.T,1.1604847318177647,8604,野村ホールディングス,金融（除く銀行）,証券･商品先物取引業,1.084767630836955
4902.T,1.1439531128415827,4902,コニカミノルタ,電機・精密,電気機器,1.039578033230612
7011.T,1.1256514555731236,7011,三菱重工業,機械,機械,0.9895499912897446
6988.T,1.1185707418619595,6988,日東電工,素材・化学,化学,0.9701946816957944
6503.T,1.08754829488403,6503,三菱電機,電機・精密,電気機器,0.8853940401060911
6305.T,1.0622442458545482,6305,日立建機,機械,機械,0.8162247835982479
5711.T,1.0601872387805555,5711,三菱マテリアル,鉄鋼・非鉄,非鉄金属,0.8106019028579491
5101.T,1.056836643148688,5101,横浜ゴム,自動車・輸送機,ゴム製品,0.8014429651541577
8331.T,1.0395905602973503,8331,千葉銀行,銀行,銀行業,0.754300362517329
6273.T,1.037334574801116,6273,ＳＭＣ,機械,機械,0.7481335692390993
6301.T,1.0340493213630484,6301,小松製作所,機械,機械,0.7391532460708105
6479.T,1.027813708092613,6479,ミネベアミツミ,電機・精密,電気機器,0.7221080398556341
8002.T,1.0254611218136025,8002,丸紅,商社・卸売,卸売業,0.715677185900201
7013.T,1.0222907359526372,7013,ＩＨＩ,機械,機械,0.7070108561523235
8015.T,1.0212181958937232,8015,豊田通商,商社・卸売,卸売業,0.7040790408383584
6473.T,1.0209397591272504,6473,ジェイテクト,機械,機械,0.7033179269115346
6645.T,1.0135414832412366,6645,オムロン,電機・精密,電気機器,0.6830945530997284
6752.T,1.0056748796261663,6752,パナソニック　ホールディングス,電機・精密,電気機器,0.6615909936234423
8306.T,1.0009184408607585,8306,三菱ＵＦＪフィナンシャル・グループ,銀行,銀行業,0.6485891482411076
7261.T,0.9986650043936282,7261,マツダ,自動車・輸送機,輸送用機器,0.6424293227982519
6841.T,0.9869853596740371,6841,横河電機,電機・精密,電気機器,0.610502719249997
8750.T,0.9869308436738815,8750,第一生命ホールディングス,金融（除く銀行）,保険業,0.6103536983879938
6098.T,0.9867180280953645,6098,リクルートホールディングス,情報通信・サービスその他,サービス業,0.6097719616342372
8316.T,0.9785908583176842,8316,三井住友フィナンシャルグループ,銀行,銀行業,0.5875561379777072
6758.T,0.971338511144435,6758,ソニーグループ,電機・精密,電気機器,0.5677316639843971
5020.T,0.9675342322822694,5020,ＥＮＥＯＳホールディングス,エネルギー資源,石油･石炭製品,0.557332571723
4063.T,0.9497756697951008,4063,信越化学工業,素材・化学,化学,0.5087890930704577
5714.T,0.945715792387289,5714,ＤＯＷＡホールディングス,鉄鋼・非鉄,非鉄金属,0.4976913157351329
7201.T,0.9411806091789711,7201,日産自動車,自動車・輸送機,輸送用機器,0.4852942780009459
8354.T,0.9283589167315867,8354,ふくおかフィナンシャルグループ,銀行,銀行業,0.4502458581719882
6861.T,0.9253922627340664,6861,キーエンス,電機・精密,電気機器,0.4421364346135127
8053.T,0.9248317072247297,8053,住友商事,商社・卸売,卸売業,0.4406041419844945
6753.T,0.9245376701259709,6753,シャープ,電機・精密,電気機器,0.4398003841557305
8601.T,0.9098553809506591,8601,大和証券グループ本社,金融（除く銀行）,証券･商品先物取引業,0.399665976223378
6724.T,0.9081704553603133,6724,セイコーエプソン,電機・精密,電気機器,0.3950601896071937
6326.T,0.9071355889464698,6326,クボタ,機械,機械,0.39223135615263116
8766.T,0.9004791867433952,8766,東京海上ホールディングス,金融（除く銀行）,保険業,0.37403591277250625
6701.T,0.8880357104438537,6701,日本電気,電機・精密,電気機器,0.3400213563270359
6674.T,0.8864686001309268,6674,ジーエス・ユアサ　コーポレーション,電機・精密,電気機器,0.33573762074445646
8795.T,0.8808131083572195,8795,Ｔ＆Ｄホールディングス,金融（除く銀行）,保険業,0.32027819127853246
4506.T,0.8780106244571074,4506,住友ファーマ,医薬品,医薬品,0.312617530823753
7203.T,0.8766559580759646,7203,トヨタ自動車,自動車・輸送機,輸送用機器,0.3089145160892081
8630.T,0.8762384938130299,8630,ＳＯＭＰＯホールディングス,金融（除く銀行）,保険業,0.30777336699278685
6594.T,0.87275150842236,6594,ニデック,電機・精密,電気機器,0.2982416044418477
6770.T,0.8703509656832844,6770,アルプスアルパイン,電機・精密,電気機器,0.2916796602927629
1963.T,0.8690752807358886,1963,日揮ホールディングス,建設・資材,建設業,0.2881925433002685
6178.T,0.86690747123869,6178,日本郵政,情報通信・サービスその他,サービス業,0.28226678134030864
6302.T,0.8623674159833711,6302,住友重機械工業,機械,機械,0.26985642574270996
4043.T,0.86132592703605,4043,トクヤマ,素材・化学,化学,0.267009489425783
7211.T,0.8593398119869359,7211,三菱自動車工業,自動車・輸送機,輸送用機器,0.2615803938242765
4005.T,0.8579576783489379,4005,住友化学,素材・化学,化学,0.2578022966500489
5333.T,0.8532871320717909,5333,日本碍子,建設・資材,ガラス･土石製品,0.24503524055166168
5831.T,0.8490382627352074,5831,しずおかフィナンシャルグループ,銀行,銀行業,0.23342084901029078
8725.T,0.8471841845846694,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,金融（除く銀行）,保険業,0.22835267960267003
2768.T,0.8439812450101118,2768,双日,商社・卸売,卸売業,0.2195973634572749
8309.T,0.843934395214772,8309,三井住友トラストグループ,銀行,銀行業,0.21946929835957346
7270.T,0.8420246197967259,7270,ＳＵＢＡＲＵ,自動車・輸送機,輸送用機器,0.2142488790658354
