Ticker,Beta,Code,CoName,S17Nm,S33Nm,BetaScore
9501.T,0.7192621976588037,9501,東京電力ホールディングス,電気・ガス,電気･ガス業,-0.10121064049633381
7267.T,0.71813124773051,7267,本田技研工業,自動車・輸送機,輸送用機器,-0.10428705733118461
4188.T,0.716606473464104,4188,三菱ケミカルグループ,素材・化学,化学,-0.10843475751239025
8802.T,0.708758006420915,8802,三菱地所,不動産,不動産業,-0.1297842050302528
3401.T,0.7073399970119533,3401,帝人,素材・化学,繊維製品,-0.1336414828005323
6971.T,0.7063953329209247,6971,京セラ,電機・精密,電気機器,-0.13621116377421058
7762.T,0.7054168770361634,7762,シチズン時計,電機・精密,精密機器,-0.13887276538957105
4751.T,0.7034009327952289,4751,サイバーエージェント,情報通信・サービスその他,サービス業,-0.144356549106051
7911.T,0.7031383340213733,7911,ＴＯＰＰＡＮホールディングス,情報通信・サービスその他,その他製品,-0.14507087187887202
6902.T,0.7010546541534949,6902,デンソー,自動車・輸送機,輸送用機器,-0.15073891045742496
7272.T,0.6992302112273335,7272,ヤマハ発動機,自動車・輸送機,輸送用機器,-0.1557017711392723
7269.T,0.6914327157908672,7269,スズキ,自動車・輸送機,輸送用機器,-0.17691256538425526
5233.T,0.6884821894220137,5233,太平洋セメント,建設・資材,ガラス･土石製品,-0.18493860505738777
5332.T,0.6851199373215946,5332,ＴＯＴＯ,建設・資材,ガラス･土石製品,-0.19408462355561332
4901.T,0.6843595566378206,4901,富士フイルムホールディングス,素材・化学,化学,-0.19615301569034468
6471.T,0.6809564835514696,6471,日本精工,機械,機械,-0.2054100756813845
4208.T,0.6803890509656813,4208,ＵＢＥ,素材・化学,化学,-0.20695360923303868
7912.T,0.6771164725587266,7912,大日本印刷,情報通信・サービスその他,その他製品,-0.215855696807962
2802.T,0.6740915953112063,2802,味の素,食品,食料品,-0.22408398619091285
2432.T,0.6727536681333727,2432,ディー・エヌ・エー,情報通信・サービスその他,情報･通信業,-0.22772342379174598
7731.T,0.6726151099350517,7731,ニコン,電機・精密,精密機器,-0.228100330640809
4042.T,0.6697038093304071,4042,東ソー,素材・化学,化学,-0.2360196681529058
1812.T,0.6686705547138402,1812,鹿島建設,建設・資材,建設業,-0.23883033360994274
5411.T,0.6661898678252438,5411,ＪＦＥホールディングス,鉄鋼・非鉄,鉄鋼,-0.24557831308732342
4021.T,0.6633305981087964,4021,日産化学,素材・化学,化学,-0.2533561158626671
3405.T,0.6531478971820857,3405,クラレ,素材・化学,化学,-0.28105516050776874
8304.T,0.6517843146812284,8304,あおぞら銀行,銀行,銀行業,-0.2847643858734522
5019.T,0.6515071877038873,5019,出光興産,エネルギー資源,石油･石炭製品,-0.28551822835326024
5406.T,0.6469361130195241,5406,神戸製鋼所,鉄鋼・非鉄,鉄鋼,-0.2979524933552049
9107.T,0.6424295509051444,9107,川崎汽船,運輸・物流,海運業,-0.31021127087411315
6367.T,0.6411006839820738,6367,ダイキン工業,機械,機械,-0.3138260627151442
3659.T,0.6279071251713038,3659,ネクソン,情報通信・サービスその他,情報･通信業,-0.34971526118592194
7202.T,0.6241304776617017,7202,いすゞ自動車,自動車・輸送機,輸送用機器,-0.3599885205824415
7205.T,0.615642031567871,7205,日野自動車,自動車・輸送機,輸送用機器,-0.3830788429844082
5201.T,0.6090138097046859,5201,ＡＧＣ,建設・資材,ガラス･土石製品,-0.40110897218366676
4543.T,0.6079552659758989,4543,テルモ,電機・精密,精密機器,-0.40398842923671163
1801.T,0.6063952814530497,1801,大成建設,建設・資材,建設業,-0.4082319085704434
7832.T,0.6059699337089615,7832,バンダイナムコホールディングス,情報通信・サービスその他,その他製品,-0.40938894207638554
3099.T,0.6018653053476652,3099,三越伊勢丹ホールディングス,小売,小売業,-0.4205543769692888
5214.T,0.6014543995315826,5214,日本電気硝子,建設・資材,ガラス･土石製品,-0.4216721254553264
8804.T,0.601082795955477,8804,東京建物,不動産,不動産業,-0.4226829637504814
4523.T,0.5965936169016731,4523,エーザイ,医薬品,医薬品,-0.4348944557628797
4704.T,0.5963074159388527,4704,トレンドマイクロ,情報通信・サービスその他,情報･通信業,-0.43567298135286714
9503.T,0.5884321423617977,9503,関西電力,電気・ガス,電気･ガス業,-0.45709534816627606
8801.T,0.5816329721939109,8801,三井不動産,不動産,不動産業,-0.47559049197786774
4324.T,0.5804470016089882,4324,電通グループ,情報通信・サービスその他,サービス業,-0.4788165763356415
4568.T,0.580248141336967,4568,第一三共,医薬品,医薬品,-0.4793575172502866
1803.T,0.5771266390657496,1803,清水建設,建設・資材,建設業,-0.48784864660707977
6952.T,0.5761200038270988,6952,カシオ計算機,電機・精密,電気機器,-0.49058690187131704
4503.T,0.5655985117507916,4503,アステラス製薬,医薬品,医薬品,-0.5192075282505364
8233.T,0.5545955970754801,8233,高島屋,小売,小売業,-0.5491377232951773
5108.T,0.5536056407768339,5108,ブリヂストン,自動車・輸送機,ゴム製品,-0.5518306084059411
9301.T,0.5370008080922947,9301,三菱倉庫,運輸・物流,倉庫･運輸関連業,-0.5969991746992919
4307.T,0.5307617883818555,4307,野村総合研究所,情報通信・サービスその他,情報･通信業,-0.6139705938487834
9101.T,0.526862771717724,9101,日本郵船,運輸・物流,海運業,-0.6245767225595341
5401.T,0.5241071716022845,5401,日本製鉄,鉄鋼・非鉄,鉄鋼,-0.6320725226592295
3382.T,0.5178310679633753,3382,セブン＆アイ・ホールディングス,小売,小売業,-0.6491448177352263
2413.T,0.5084129920206957,2413,エムスリー,情報通信・サービスその他,サービス業,-0.6747639248743681
3289.T,0.5071892133578177,3289,東急不動産ホールディングス,不動産,不動産業,-0.6780928549944564
4519.T,0.4992389054508519,4519,中外製薬,医薬品,医薬品,-0.6997193306458912
4578.T,0.49301740458721954,4578,大塚ホールディングス,医薬品,医薬品,-0.7166430949223462
9104.T,0.48783526175368674,9104,商船三井,運輸・物流,海運業,-0.7307395911993596
1928.T,0.48736828085679457,1928,積水ハウス,建設・資材,建設業,-0.7320098754593536
4689.T,0.4719501234616182,4689,ＬＩＮＥヤフー,情報通信・サービスその他,情報･通信業,-0.7739504404536501
1802.T,0.4681550652260748,1802,大林組,建設・資材,建設業,-0.7842737808182222
4507.T,0.43810502726844885,4507,塩野義製薬,医薬品,医薬品,-0.8660160758110846
1332.T,0.4232295101606989,1332,ニッスイ,食品,水産・農林業,-0.9064805474136736
9009.T,0.4114154434256482,9009,京成電鉄,運輸・物流,陸運業,-0.938617243197008
