S17Nm,SectorBeta,Members,SectorBetaScore
鉄鋼・非鉄,1.1674687309941318,10,1.1038585688096831
電機・精密,1.0693321179199125,37,0.8355996607340275
機械,1.028954396743803,15,0.7252261410661486
銀行,0.9612391295030825,9,0.540124749434579
金融（除く銀行）,0.899679290970123,10,0.37184937749285424
商社・卸売,0.8779720132308625,7,0.31251198606255265
自動車・輸送機,0.829356199702911,14,0.17961943308281253
素材・化学,0.7722572797906267,19,0.023538094751068703
エネルギー資源,0.7702883223080533,3,0.018155899790630505
建設・資材,0.6932572329421435,16,-0.19241052668211833
不動産,0.6443873883922775,5,-0.32599747987011285
情報通信・サービスその他,0.6101971696287343,25,-0.4194573055667605
電気・ガス,0.541030897393961,5,-0.6085250559621334
医薬品,0.5213584871902235,9,-0.6623000856391803
小売,0.400485281977266,10,-0.9927100420283393
運輸・物流,0.36674213519541227,16,-1.0849477851822715
食品,0.2603618843206606,11,-1.3757408851937083
