S17Nm,SectorBeta,Members,SectorBetaScore
鉄鋼・非鉄,1.1614140892605263,10,1.0838227580040893
電機・精密,1.0751131738783053,37,0.8517102477042957
機械,1.0234492951330456,15,0.7127565351709424
銀行,0.9664704611207456,9,0.5595078687115502
金融（除く銀行）,0.9060282836791962,10,0.39694429135193127
商社・卸売,0.8560078589826461,7,0.26241076652016665
自動車・輸送機,0.8283646010065745,14,0.1880622387754353
エネルギー資源,0.7609000533741624,3,0.006611492420719528
素材・化学,0.7603034910945495,19,0.00500699532288635
建設・資材,0.6769368588244561,16,-0.21921354979820978
不動産,0.643003209537866,5,-0.3104805367665294
情報通信・サービスその他,0.6134795862662884,25,-0.389886442026754
医薬品,0.5172040339866093,9,-0.6488264546692971
電気・ガス,0.5012859514745445,5,-0.691639280867845
小売,0.3846595998292141,10,-1.005314230057097
運輸・物流,0.3537322425025002,16,-1.0884955788788173
食品,0.24944242015599025,11,-1.3689905464739682
