Ticker,Beta,Code,CoName,S17Nm,S33Nm,BetaScore
9501.T,0.6970247387942656,9501,東京電力ホールディングス,電気・ガス,電気･ガス業,-0.1166320074171119
3401.T,0.6923186094989641,3401,帝人,素材・化学,繊維製品,-0.12931242545151975
7272.T,0.6857979275332308,7272,ヤマハ発動機,自動車・輸送機,輸送用機器,-0.1468820602844327
7912.T,0.6786050366705089,7912,大日本印刷,情報通信・サービスその他,その他製品,-0.16626292665932085
8802.T,0.6772498946503656,8802,三菱地所,不動産,不動産業,-0.16991428560701588
7731.T,0.6755662639906942,7731,ニコン,電機・精密,精密機器,-0.17445073992872204
7269.T,0.6743195422972369,7269,スズキ,自動車・輸送機,輸送用機器,-0.1778099660046793
4751.T,0.6742850399395307,4751,サイバーエージェント,情報通信・サービスその他,サービス業,-0.1779029307940921
4188.T,0.666754200632042,4188,三菱ケミカルグループ,素材・化学,化学,-0.1981943814910045
4901.T,0.6639390579053456,4901,富士フイルムホールディングス,素材・化学,化学,-0.20577963560560622
7762.T,0.6611213750701959,7762,シチズン時計,電機・精密,精密機器,-0.2133717339089284
2432.T,0.6574782327183919,2432,ディー・エヌ・エー,情報通信・サービスその他,情報･通信業,-0.22318798949413962
5332.T,0.6544409236177532,5332,ＴＯＴＯ,建設・資材,ガラス･土石製品,-0.23137185922637615
2802.T,0.6448215802802382,2802,味の素,食品,食料品,-0.25729067426147606
4208.T,0.6389508654500407,4208,ＵＢＥ,素材・化学,化学,-0.2731090068096327
9107.T,0.6387962656513881,9107,川崎汽船,運輸・物流,海運業,-0.27352556784141446
5411.T,0.635795716518696,5411,ＪＦＥホールディングス,鉄鋼・非鉄,鉄鋼,-0.28161038977210423
5233.T,0.6356886262604983,5233,太平洋セメント,建設・資材,ガラス･土石製品,-0.2818989388442082
6471.T,0.6338595480566553,6471,日本精工,機械,機械,-0.28682729392903505
1812.T,0.6327771643977209,1812,鹿島建設,建設・資材,建設業,-0.2897437198084946
6367.T,0.6298149740054513,6367,ダイキン工業,機械,機械,-0.29772518612923216
7832.T,0.625091953155053,7832,バンダイナムコホールディングス,情報通信・サービスその他,その他製品,-0.3104511175710366
4704.T,0.6208326897139754,4704,トレンドマイクロ,情報通信・サービスその他,情報･通信業,-0.3219274790482817
3405.T,0.6193639924471904,3405,クラレ,素材・化学,化学,-0.32588480663964625
3659.T,0.618303866084916,3659,ネクソン,情報通信・サービスその他,情報･通信業,-0.3287412614030876
4042.T,0.6179455344243096,4042,東ソー,素材・化学,化学,-0.3297067672288605
3099.T,0.6144570200524724,3099,三越伊勢丹ホールディングス,小売,小売業,-0.3391063858492198
4021.T,0.6109917918472344,4021,日産化学,素材・化学,化学,-0.3484432611175868
5406.T,0.6096336170071301,5406,神戸製鋼所,鉄鋼・非鉄,鉄鋼,-0.3521027918392631
5019.T,0.6059784937421527,5019,出光興産,エネルギー資源,石油･石炭製品,-0.3619513293653094
1801.T,0.6020860770805064,1801,大成建設,建設・資材,建設業,-0.37243924147665874
8304.T,0.600474559661383,8304,あおぞら銀行,銀行,銀行業,-0.37678139046194414
4543.T,0.5907611393363636,4543,テルモ,電機・精密,精密機器,-0.40295369099523537
4324.T,0.5885317622124202,4324,電通グループ,情報通信・サービスその他,サービス業,-0.4089606304807637
7205.T,0.5824974698057654,7205,日野自動車,自動車・輸送機,輸送用機器,-0.4252197142111295
4523.T,0.5817268045217001,4523,エーザイ,医薬品,医薬品,-0.4272962313132649
7202.T,0.5805887904312461,7202,いすゞ自動車,自動車・輸送機,輸送用機器,-0.43036255046654653
4568.T,0.5773324732950221,4568,第一三共,医薬品,医薬品,-0.4391365258397157
8804.T,0.576385067091842,8804,東京建物,不動産,不動産業,-0.44168926205899234
4307.T,0.5729810197123119,4307,野村総合研究所,情報通信・サービスその他,情報･通信業,-0.4508612888081229
5201.T,0.570884701186626,5201,ＡＧＣ,建設・資材,ガラス･土石製品,-0.4565097088941389
1803.T,0.5605493665973929,1803,清水建設,建設・資材,建設業,-0.48435772472485433
6952.T,0.5589156864737502,6952,カシオ計算機,電機・精密,電気機器,-0.48875958995260604
5214.T,0.5570307567670942,5214,日本電気硝子,建設・資材,ガラス･土石製品,-0.4938384339762359
8801.T,0.5563085830088255,8801,三井不動産,不動産,不動産業,-0.4957842932108026
9503.T,0.5546580403895471,9503,関西電力,電気・ガス,電気･ガス業,-0.5002315935467604
5108.T,0.5459017552117317,5108,ブリヂストン,自動車・輸送機,ゴム製品,-0.5238249437324515
9301.T,0.5427362309183829,9301,三菱倉庫,運輸・物流,倉庫･運輸関連業,-0.5323542825625195
4503.T,0.5338239864308622,4503,アステラス製薬,医薬品,医薬品,-0.5563678569110687
9101.T,0.5310406664986543,9101,日本郵船,運輸・物流,海運業,-0.5638673661785107
8233.T,0.5300000476684327,8233,高島屋,小売,小売業,-0.5666712589221422
5401.T,0.525095747102799,5401,日本製鉄,鉄鋼・非鉄,鉄鋼,-0.5798856390286777
3382.T,0.5143523585754081,3382,セブン＆アイ・ホールディングス,小売,小売業,-0.6088331347486502
2413.T,0.50811493080823,2413,エムスリー,情報通信・サービスその他,サービス業,-0.6256395560312539
4519.T,0.5064540455769571,4519,中外製薬,医薬品,医薬品,-0.6301147239916287
9104.T,0.4991598351155415,9104,商船三井,運輸・物流,海運業,-0.6497685906998899
1928.T,0.4809715928203892,1928,積水ハウス,建設・資材,建設業,-0.698775853599336
4578.T,0.4760633039509979,4578,大塚ホールディングス,医薬品,医薬品,-0.7120009799807234
3289.T,0.4655016360652821,3289,東急不動産ホールディングス,不動産,不動産業,-0.7404588389828474
4689.T,0.43996071265367553,4689,ＬＩＮＥヤフー,情報通信・サービスその他,情報･通信業,-0.8092775146973683
4507.T,0.43378872891100934,4507,塩野義製薬,医薬品,医薬品,-0.8259076004956297
1802.T,0.4227747851427015,1802,大林組,建設・資材,建設業,-0.8555840930920056
9532.T,0.4196890263366175,9532,大阪瓦斯,電気・ガス,電気･ガス業,-0.8638985080090724
3086.T,0.4090348122060391,3086,Ｊ．フロント　リテイリング,小売,小売業,-0.8926057280037947
9009.T,0.4048347581603273,9009,京成電鉄,運輸・物流,陸運業,-0.9039225528772427
1721.T,0.3990760164506841,1721,コムシスホールディングス,建設・資材,建設業,-0.9194391797373166
1332.T,0.38838796321304364,1332,ニッスイ,食品,水産・農林業,-0.9482375774274511
9147.T,0.3802492690279738,9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,運輸・物流,陸運業,-0.9701668611434602
1925.T,0.3631725407005154,1925,大和ハウス工業,建設・資材,建設業,-1.0161792080775685
3092.T,0.3596451151022778,3092,ＺＯＺＯ,小売,小売業,-1.0256836709523094
9022.T,0.35147492616754095,9022,東海旅客鉄道,運輸・物流,陸運業,-1.047697815615948
1808.T,0.34901310121344004,1808,長谷工コーポレーション,建設・資材,建設業,-1.0543310735624951
9201.T,0.3455157571200014,9201,日本航空,運輸・物流,空運業,-1.0637544834036239
2801.T,0.34147612913893377,2801,キッコーマン,食品,食料品,-1.0746390486778012
9502.T,0.3372362301900087,9502,中部電力,電気・ガス,電気･ガス業,-1.0860632335487295
4502.T,0.3265539599733516,4502,武田薬品工業,医薬品,医薬品,-1.114846049192777
9202.T,0.32201457846247616,9202,ＡＮＡホールディングス,運輸・物流,空運業,-1.127077174086228
9602.T,0.3187347861194276,9602,東宝,情報通信・サービスその他,情報･通信業,-1.135914402170341
9531.T,0.31704962370454925,9531,東京瓦斯,電気・ガス,電気･ガス業,-1.1404549837259441
2914.T,0.30179880279684285,2914,日本たばこ産業,食品,食料品,-1.1815475190863038
7453.T,0.29637138849195976,7453,良品計画,小売,小売業,-1.1961714016686529
