Ticker,Beta,Code,CoName,S17Nm,S33Nm,BetaScore
6857.T,1.9547927899831203,6857,アドバンテスト,電機・精密,電気機器,3.2176717563317228
9984.T,1.8892543674654774,9984,ソフトバンクグループ,情報通信・サービスその他,情報･通信業,3.0414014618130096
5803.T,1.7753536747956846,5803,フジクラ,鉄鋼・非鉄,非鉄金属,2.7350573682031123
6146.T,1.7376473715102796,6146,ディスコ,機械,機械,2.6336435573421473
6506.T,1.7342318309690201,6506,安川電機,電機・精密,電気機器,2.62445721574251
5801.T,1.6710136017087087,5801,古河電気工業,鉄鋼・非鉄,非鉄金属,2.4544272476323257
5802.T,1.6219143551612325,5802,住友電気工業,鉄鋼・非鉄,非鉄金属,2.322371297594153
3436.T,1.530631522242579,3436,ＳＵＭＣＯ,建設・資材,金属製品,2.0768595622645147
6920.T,1.5262680241556192,6920,レーザーテック,電機・精密,電気機器,2.0651236207606867
6723.T,1.5205836650761548,6723,ルネサスエレクトロニクス,電機・精密,電気機器,2.0498351287494914
6526.T,1.5101540503919264,6526,ソシオネクスト,電機・精密,電気機器,2.0217839309714134
6976.T,1.5035255124681526,6976,太陽誘電,電機・精密,電気機器,2.003956002144815
5706.T,1.4461687514582797,5706,三井金属,鉄鋼・非鉄,非鉄金属,1.8496908738816495
6501.T,1.4239883601564414,6501,日立製作所,電機・精密,電気機器,1.7900351184160241
7012.T,1.4100796579772927,7012,川崎重工業,自動車・輸送機,輸送用機器,1.7526266649423141
8035.T,1.3771359651819282,8035,東京エレクトロン,電機・精密,電気機器,1.6640222370586604
6762.T,1.3681526789543892,6762,ＴＤＫ,電機・精密,電気機器,1.6398610435443075
7735.T,1.3638691722795142,7735,ＳＣＲＥＥＮホールディングス,電機・精密,電気機器,1.6283402446884938
4004.T,1.3635719804042448,4004,レゾナック・ホールディングス,素材・化学,化学,1.6275409257947837
6954.T,1.3292572572631347,6954,ファナック,電機・精密,電気機器,1.535249013324915
5631.T,1.3200075150944215,5631,日本製鋼所,機械,機械,1.510371167419144
5713.T,1.3037832569473364,5713,住友金属鉱山,鉄鋼・非鉄,非鉄金属,1.4667348598597967
6361.T,1.2788241783280194,6361,荏原製作所,機械,機械,1.3996056252805182
6981.T,1.2773050782014685,6981,村田製作所,電機・精密,電気機器,1.3955198963840307
6504.T,1.229879126295099,6504,富士電機,電機・精密,電気機器,1.2679643924639352
8411.T,1.1867298757595326,8411,みずほフィナンシャルグループ,銀行,銀行業,1.1519113840455755
8308.T,1.1743203801812274,8308,りそなホールディングス,銀行,銀行業,1.1185351544021527
8604.T,1.171150961715366,8604,野村ホールディングス,金融（除く銀行）,証券･商品先物取引業,1.110010775801492
4902.T,1.1467052071734822,4902,コニカミノルタ,電機・精密,電気機器,1.0442621631968783
7011.T,1.1398960377195226,7011,三菱重工業,機械,機械,1.0259484128963705
6988.T,1.1164721127646613,6988,日東電工,素材・化学,化学,0.9629480843567856
6503.T,1.0922132131264328,6503,三菱電機,電機・精密,電気機器,0.8977020314360076
6305.T,1.0601022874172872,6305,日立建機,機械,機械,0.8113373904424608
8331.T,1.0458649062815437,8331,千葉銀行,銀行,銀行業,0.7730449313083234
6301.T,1.0420459563629174,6301,小松製作所,機械,機械,0.7627735912142396
6273.T,1.0284955010968295,6273,ＳＭＣ,機械,機械,0.7263286685435274
5101.T,1.02774377900334,5101,横浜ゴム,自動車・輸送機,ゴム製品,0.7243068579822498
6479.T,1.019772257119111,6479,ミネベアミツミ,電機・精密,電気機器,0.702866877337047
6752.T,1.0193806898882027,6752,パナソニック　ホールディングス,電機・精密,電気機器,0.7018137291460373
6645.T,1.018214567731477,6645,オムロン,電機・精密,電気機器,0.6986773598512848
8306.T,1.0175703105378782,8306,三菱ＵＦＪフィナンシャル・グループ,銀行,銀行業,0.6969445838567011
8002.T,1.0158875522250304,8002,丸紅,商社・卸売,卸売業,0.6924186845137676
7013.T,1.0121494001250573,7013,ＩＨＩ,機械,機械,0.6823646559560828
6758.T,1.0050667683539878,6758,ソニーグループ,電機・精密,電気機器,0.6633154091128599
8015.T,1.002963982431516,8015,豊田通商,商社・卸売,卸売業,0.6576598153462548
6473.T,1.0016938614296491,6473,ジェイテクト,機械,機械,0.654243733688
7261.T,1.0016930671135027,7261,マツダ,自動車・輸送機,輸送用機器,0.6542415973176743
5711.T,0.9978449322280287,5711,三菱マテリアル,鉄鋼・非鉄,非鉄金属,0.6438917621591055
8750.T,0.9900705089157871,8750,第一生命ホールディングス,金融（除く銀行）,保険業,0.6229818922794472
8316.T,0.9898503040923281,8316,三井住友フィナンシャルグループ,銀行,銀行業,0.6223896355910121
6098.T,0.985263775381986,6098,リクルートホールディングス,情報通信・サービスその他,サービス業,0.6100538372068978
6841.T,0.9706956761142811,6841,横河電機,電機・精密,電気機器,0.5708718879037253
7201.T,0.9450818823683863,7201,日産自動車,自動車・輸送機,輸送用機器,0.5019817499679973
5020.T,0.9440585658912706,5020,ＥＮＥＯＳホールディングス,エネルギー資源,石油･石炭製品,0.4992294668052696
