Ticker,Beta,Code,CoName,S17Nm,S33Nm,BetaScore
6857.T,1.9192796906836385,6857,アドバンテスト,電機・精密,電気機器,3.1598671317631966
9984.T,1.8599873273509753,9984,ソフトバンクグループ,情報通信・サービスその他,情報･通信業,2.9969015554575242
5803.T,1.7452206881256334,5803,フジクラ,鉄鋼・非鉄,非鉄金属,2.6814644493821818
6146.T,1.7019339600050052,6146,ディスコ,機械,機械,2.56249050066324
6506.T,1.6978320583144664,6506,安川電機,電機・精密,電気機器,2.5512163881911603
5801.T,1.6494820003263424,5801,古河電気工業,鉄鋼・非鉄,非鉄金属,2.4183258332939044
5802.T,1.634375223562281,5802,住友電気工業,鉄鋼・非鉄,非鉄金属,2.376804725969107
3436.T,1.5467266238655224,3436,ＳＵＭＣＯ,建設・資材,金属製品,2.1359017873928874
6723.T,1.521573695856849,6723,ルネサスエレクトロニクス,電機・精密,電気機器,2.06676874599748
6920.T,1.5155010687662076,6920,レーザーテック,電機・精密,電気機器,2.050078077623149
6976.T,1.489228050520322,6976,太陽誘電,電機・精密,電気機器,1.9778664584689576
5706.T,1.4683927891903508,5706,三井金属,鉄鋼・非鉄,非鉄金属,1.9206005614921786
6526.T,1.4486120226894044,6526,ソシオネクスト,電機・精密,電気機器,1.8662329527242743
7012.T,1.387067249164802,7012,川崎重工業,自動車・輸送機,輸送用機器,1.6970766074160795
4004.T,1.3782398960356175,4004,レゾナック・ホールディングス,素材・化学,化学,1.672814550566024
6501.T,1.3558236301632294,6501,日立製作所,電機・精密,電気機器,1.6112032488538777
5713.T,1.3516177690000097,5713,住友金属鉱山,鉄鋼・非鉄,非鉄金属,1.5996434028669637
8035.T,1.3491237355872245,8035,東京エレクトロン,電機・精密,電気機器,1.592788530340467
6762.T,1.344612735949477,6762,ＴＤＫ,電機・精密,電気機器,1.58039000860242
7735.T,1.3397279125429453,7735,ＳＣＲＥＥＮホールディングス,電機・精密,電気機器,1.5669640289845972
6361.T,1.3300163032236962,6361,荏原製作所,機械,機械,1.5402715863054721
5631.T,1.3206806411961483,5631,日本製鋼所,機械,機械,1.5146124380273291
6954.T,1.3142731264089738,6954,ファナック,電機・精密,電気機器,1.497001327906445
6981.T,1.2666926801303646,6981,村田製作所,電機・精密,電気機器,1.3662260574863656
6504.T,1.2543343468529196,6504,富士電機,電機・精密,電気機器,1.3322590709886806
8411.T,1.1859727121477859,8411,みずほフィナンシャルグループ,銀行,銀行業,1.1443665234372358
8308.T,1.1740144901700702,8308,りそなホールディングス,銀行,銀行業,1.111499246326761
8604.T,1.143551314204709,8604,野村ホールディングス,金融（除く銀行）,証券･商品先物取引業,1.0277709422373644
7011.T,1.135190252959727,7011,三菱重工業,機械,機械,1.0047904926865387
4902.T,1.1261217872568328,4902,コニカミノルタ,電機・精密,電気機器,0.9798657358306035
6988.T,1.1121883790373173,6988,日東電工,素材・化学,化学,0.9415696421556756
6503.T,1.111159574862401,6503,三菱電機,電機・精密,電気機器,0.9387419649330585
5711.T,1.102475971895669,5711,三菱マテリアル,鉄鋼・非鉄,非鉄金属,0.9148750066547473
6305.T,1.06892489190769,6305,日立建機,機械,機械,0.8226595715026345
6273.T,1.0668067663870588,6273,ＳＭＣ,機械,機械,0.8168378850871221
5101.T,1.0594569306886723,5101,横浜ゴム,自動車・輸送機,ゴム製品,0.7966367977460861
6301.T,1.053092506119679,6301,小松製作所,機械,機械,0.7791441214646431
8002.T,1.0450056743132345,8002,丸紅,商社・卸売,卸売業,0.7569173939107042
8331.T,1.0442852967116563,8331,千葉銀行,銀行,銀行業,0.7549374298073973
6479.T,1.0420710267355222,6479,ミネベアミツミ,電機・精密,電気機器,0.7488514895197339
7013.T,1.040867918555055,7013,ＩＨＩ,機械,機械,0.7455447362218784
8015.T,1.0302594427270997,8015,豊田通商,商社・卸売,卸売業,0.7163872481432216
6645.T,1.0254171340439389,6645,オムロン,電機・精密,電気機器,0.7030781206123488
6473.T,1.0206878449562105,6473,ジェイテクト,機械,機械,0.6900796284224918
8306.T,1.0144683079434105,8306,三菱ＵＦＪフィナンシャル・グループ,銀行,銀行業,0.6729851768493825
6841.T,1.012307534057447,6841,横河電機,電機・精密,電気機器,0.6670462710308266
6752.T,1.0060198334923902,6752,パナソニック　ホールディングス,電機・精密,電気機器,0.649764471341498
8750.T,0.9943144020792298,8750,第一生命ホールディングス,金融（除く銀行）,保険業,0.6175919912963089
7261.T,0.9875828018776674,7261,マツダ,自動車・輸送機,輸送用機器,0.5990901295952985
8316.T,0.9836717233937797,8316,三井住友フィナンシャルグループ,銀行,銀行業,0.5883404963663535
