Ticker,Name,Window,Passed,Signal_Level,Signal_Rank,Pass_Reason,Reject_Reason,Failed_Conditions,Conditions_Passed,Weekly_MA2_Warning,SMA25_Above_SMA75,SMA75_Up,Drop_OK,Return_OK,Green_Band_OK,Pull_Before_Latest,Rebound_Confirmed,Yellow_Band_OK,Weekly_MA2_OK,Peak_Date,Peak_High,Pullback_Date,Pullback_Low,Latest_Date,Latest_Close,Prev_Close,Return_%,Drop_From_Peak_%,Delta_from_Pull_%,SMA25,SMA75,SMA75_10d_Ago,"Within_(pull, +2%]","Within_(pull, +5%]",Data_Rows
9201.T,JAL,60,True,YELLOW,1,🟡押し目接近,,,5,True,True,True,True,True,True,False,False,True,False,2026-07-07,3155.0,2026-07-22,2841.0,2026-07-22,2863.0,2904.0,10.2,9.26,0.77,2901.48,2696.78,2657.68,True,True,
9201.T,JAL,30,True,YELLOW,1,🟡押し目接近,,,5,True,True,True,True,True,True,False,False,True,False,2026-07-07,3155.0,2026-07-22,2841.0,2026-07-22,2863.0,2904.0,10.2,9.26,0.77,2901.48,2696.78,2657.68,True,True,
9202.T,ANAHD,60,True,YELLOW,1,🟡押し目接近,,,6,True,True,True,True,True,True,True,False,True,False,2026-07-07,3200.0,2026-07-16,2990.0,2026-07-22,3007.0,3052.0,6.42,6.03,0.57,3024.94,2894.92,2880.56,True,True,
9202.T,ANAHD,30,True,YELLOW,1,🟡押し目接近,,,6,True,True,True,True,True,True,True,False,True,False,2026-07-07,3200.0,2026-07-16,2990.0,2026-07-22,3007.0,3052.0,6.42,6.03,0.57,3024.94,2894.92,2880.56,True,True,
9301.T,三菱倉庫,60,False,,0,,Return<3%,Return<3%,6,False,True,True,True,False,True,True,True,False,True,2026-07-09,1632.0,2026-07-17,1552.5,2026-07-22,1606.0,1599.0,1.62,1.59,3.45,1547.42,1472.63,1442.25,False,True,
9301.T,三菱倉庫,30,False,,0,,Return<3%,Return<3%,6,False,True,True,True,False,True,True,True,False,True,2026-07-09,1632.0,2026-07-17,1552.5,2026-07-22,1606.0,1599.0,1.62,1.59,3.45,1547.42,1472.63,1442.25,False,True,
9501.T,東電HD,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | Drop>15% | 押し目安値+5%外,3,False,False,False,False,True,False,True,True,False,True,2026-05-12,663.0,2026-07-01,442.8,2026-07-22,505.3,503.4,31.21,23.79,14.11,482.97,554.26,574.09,False,False,
9501.T,東電HD,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | 押し目安値+5%外,4,False,False,False,True,True,False,True,True,False,True,2026-06-15,536.6,2026-07-01,442.8,2026-07-22,505.3,503.4,6.19,5.83,14.11,482.97,554.26,574.09,False,False,
9502.T,中部電,60,False,,0,,押し目安値+5%外,押し目安値+5%外,6,True,True,True,True,True,False,True,True,False,False,2026-07-09,3286.0,2026-07-17,2798.5,2026-07-22,2967.0,2951.5,10.75,9.71,6.02,3028.7,2851.35,2791.57,False,False,
9502.T,中部電,30,False,,0,,押し目安値+5%外,押し目安値+5%外,6,True,True,True,True,True,False,True,True,False,False,2026-07-09,3286.0,2026-07-17,2798.5,2026-07-22,2967.0,2951.5,10.75,9.71,6.02,3028.7,2851.35,2791.57,False,False,
9503.T,関西電,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | 押し目安値+5%外,3,False,False,False,True,True,False,True,False,False,True,2026-04-28,2546.5,2026-07-02,2183.5,2026-07-22,2351.5,2355.5,8.29,7.66,7.69,2302.8,2376.93,2418.41,False,False,
9503.T,関西電,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | Return<3% | 押し目安値+5%外,2,False,False,False,True,False,False,True,False,False,True,2026-06-15,2393.0,2026-07-02,2183.5,2026-07-22,2351.5,2355.5,1.76,1.73,7.69,2302.8,2376.93,2418.41,False,False,
9531.T,東ガス,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き,5,False,False,False,True,True,True,True,True,False,True,2026-04-28,6979.0,2026-07-01,5896.0,2026-07-22,6151.0,6127.0,13.46,11.86,4.32,6094.64,6467.65,6658.49,False,True,
9531.T,東ガス,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き,5,False,False,False,True,True,True,True,True,False,True,2026-06-12,6471.0,2026-07-01,5896.0,2026-07-22,6151.0,6127.0,5.2,4.95,4.32,6094.64,6467.65,6658.49,False,True,
9532.T,大阪ガス,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | 反発未確認かつ押し目安値+2%外 | 前日終値超えなし,4,False,False,False,True,True,True,True,False,False,True,2026-04-28,5984.0,2026-06-01,5236.0,2026-07-22,5409.0,5436.0,10.63,9.61,3.3,5408.08,5679.81,5813.85,False,True,
9532.T,大阪ガス,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | 反発未確認かつ押し目安値+2%外 | 前日終値超えなし,4,False,False,False,True,True,True,True,False,False,True,2026-06-12,5776.0,2026-07-13,5264.0,2026-07-22,5409.0,5436.0,6.78,6.35,2.75,5408.08,5679.81,5813.85,False,True,
